case	status	seconds	last_time	solver_log
Basic/shallowWaterWithSquareBump/8/GT_Files	OK	0	100	log.shallowWaterFoam
Basic/wedge/2/GT_Files	OK	0	0.2	log.rhoCentralFoam
Basic/wedge/10/GT_Files	OK	0	0.2	log.rhoCentralFoam
Basic/wedge/3/GT_Files	OK	0	0.2	log.rhoCentralFoam
Basic/wedge/4/GT_Files	OK	0	0.2	log.rhoCentralFoam
Basic/wedge/5/GT_Files	OK	0	0.2	log.rhoCentralFoam
Basic/wedge/6/GT_Files	OK	0	0.2	log.rhoCentralFoam
Basic/wedge/7/GT_Files	OK	0	0.2	log.rhoCentralFoam
Basic/wedge/9/GT_Files	OK	0	0.2	log.rhoCentralFoam
Basic/wedge/8/GT_Files	OK	0	0.2	log.rhoCentralFoam
