case	status	seconds	last_time	solver_log
Basic/Cylinder/6/GT_Files	OK	2	0.5	log.pimpleFoam
Basic/Cylinder/8/GT_Files	OK	2	0.5	log.pimpleFoam
Basic/Cylinder/7/GT_Files	OK	2	0.5	log.pimpleFoam
Basic/Cylinder/9/GT_Files	OK	2	0.5	log.pimpleFoam
Advanced/counterFlowFlame2D_SA/GT_Files	OK	51	0.5	log.reactingFoam
Basic/BernardCells/9/GT_Files	OK	21	1000	log.buoyantFoam
Advanced/Diamond_Obstacle_KOMEGASST/GT_Files	OK	68	5	log.pimpleFoam
Basic/counterFlowFlame2D/1/GT_Files	OK	48	0.5	log.reactingFoam
Basic/counterFlowFlame2D/2/GT_Files	OK	55	0.5	log.reactingFoam
Basic/counterFlowFlame2D/3/GT_Files	OK	60	0.5	log.reactingFoam
Basic/counterFlowFlame2D/4/GT_Files	OK	61	0.5	log.reactingFoam
Basic/counterFlowFlame2D/5/GT_Files	OK	70	0.5	log.reactingFoam
Basic/counterFlowFlame2D/7/GT_Files	OK	70	0.5	log.reactingFoam
Basic/counterFlowFlame2D/6/GT_Files	OK	84	0.5	log.reactingFoam
Basic/counterFlowFlame2D/8/GT_Files	OK	80	0.5	log.reactingFoam
Basic/counterFlowFlame2D/10/GT_Files	OK	101	0.5	log.reactingFoam
Basic/counterFlowFlame2D/9/GT_Files	OK	96	0.5	log.reactingFoam
Basic/damBreakWithObstacle/2/GT_Files	OK	166	0.1	log.interFoam
Advanced/Rectangular_Obstacle_SA/GT_Files	OK	289	5	log.pimpleFoam
Basic/damBreakWithObstacle/5/GT_Files	OK	156	0.1	log.interFoam
Advanced/Rectangular_Obstacle_KOMEGASST/GT_Files	OK	307	5	log.pimpleFoam
Basic/damBreakWithObstacle/3/GT_Files	OK	191	0.1	log.interFoam
Basic/damBreakWithObstacle/6/GT_Files	OK	189	0.1	log.interFoam
Basic/damBreakWithObstacle/1/GT_Files	OK	245	0.1	log.interFoam
Basic/damBreakWithObstacle/10/GT_Files	OK	244	0.1	log.interFoam
Basic/damBreakWithObstacle/8/GT_Files	OK	173	0.1	log.interFoam
Basic/damBreakWithObstacle/4/GT_Files	OK	243	0.1	log.interFoam
Basic/damBreakWithObstacle/7/GT_Files	OK	230	0.1	log.interFoam
Basic/forwardStep/2/GT_Files	OK	72	4	log.rhoCentralFoam
Basic/obliqueShock/1/GT_Files	OK	10	10	log.rhoCentralFoam
Basic/forwardStep/3/GT_Files	OK	92	4	log.rhoCentralFoam
Advanced/nozzleFlow2D_SA/GT_Files	OK	399	1e-05	log.interFoam
Basic/obliqueShock/10/GT_Files	OK	13	10	log.rhoCentralFoam
Basic/obliqueShock/2/GT_Files	OK	10	10	log.rhoCentralFoam
Basic/obliqueShock/3/GT_Files	OK	10	10	log.rhoCentralFoam
Basic/obliqueShock/4/GT_Files	OK	10	10	log.rhoCentralFoam
Basic/forwardStep/10/GT_Files	OK	123	4	log.rhoCentralFoam
Basic/obliqueShock/5/GT_Files	OK	9	10	log.rhoCentralFoam
Basic/obliqueShock/6/GT_Files	OK	8	10	log.rhoCentralFoam
Basic/obliqueShock/7/GT_Files	OK	10	10	log.rhoCentralFoam
Basic/obliqueShock/8/GT_Files	OK	11	10	log.rhoCentralFoam
Basic/obliqueShock/9/GT_Files	OK	13	10	log.rhoCentralFoam
Basic/forwardStep/4/GT_Files	OK	96	4	log.rhoCentralFoam
Basic/forwardStep/5/GT_Files	OK	96	4	log.rhoCentralFoam
Basic/forwardStep/1/GT_Files	OK	157	4	log.rhoCentralFoam
Basic/forwardStep/6/GT_Files	OK	103	4	log.rhoCentralFoam
Basic/forwardStep/7/GT_Files	OK	105	4	log.rhoCentralFoam
Basic/forwardStep/8/GT_Files	OK	107	4	log.rhoCentralFoam
Basic/damBreakWithObstacle/9/GT_Files	OK	200	0.1	log.interFoam
Basic/shallowWaterWithSquareBump/1/GT_Files	OK	2	100	log.shallowWaterFoam
Basic/pitzDaily/1/GT_Files	OK	58	0.3	log.pimpleFoam
Basic/shallowWaterWithSquareBump/10/GT_Files	OK	2	100	log.shallowWaterFoam
Basic/shallowWaterWithSquareBump/2/GT_Files	OK	3	100	log.shallowWaterFoam
Basic/shallowWaterWithSquareBump/3/GT_Files	OK	2	100	log.shallowWaterFoam
Basic/shallowWaterWithSquareBump/4/GT_Files	OK	3	100	log.shallowWaterFoam
Basic/forwardStep/9/GT_Files	OK	107	4	log.rhoCentralFoam
Basic/shallowWaterWithSquareBump/5/GT_Files	OK	2	100	log.shallowWaterFoam
Basic/shallowWaterWithSquareBump/6/GT_Files	OK	3	100	log.shallowWaterFoam
Basic/shallowWaterWithSquareBump/7/GT_Files	OK	2	100	log.shallowWaterFoam
Basic/shallowWaterWithSquareBump/8/GT_Files	OK	3	100	log.shallowWaterFoam
Basic/shallowWaterWithSquareBump/9/GT_Files	OK	2	100	log.shallowWaterFoam
Basic/pitzDaily/2/GT_Files	OK	78	0.3	log.pimpleFoam
Basic/pitzDaily/3/GT_Files	OK	89	0.3	log.pimpleFoam
Basic/pitzDaily/4/GT_Files	OK	103	0.3	log.pimpleFoam
Basic/squareBend/1/GT_Files	OK	61	150	log.rhoSimpleFoam
Basic/squareBend/10/GT_Files	OK	60	74.5	log.rhoSimpleFoam
Basic/pitzDaily/6/GT_Files	OK	104	0.3	log.pimpleFoam
Basic/pitzDaily/5/GT_Files	OK	122	0.3	log.pimpleFoam
Basic/squareBend/3/GT_Files	OK	64	150	log.rhoSimpleFoam
Basic/wedge/1/GT_Files	OK	16	0.2	log.rhoCentralFoam
Basic/pitzDaily/10/GT_Files	OK	166	0.3	log.pimpleFoam
Basic/squareBend/4/GT_Files	OK	74	151	log.rhoSimpleFoam
Basic/pitzDaily/7/GT_Files	OK	143	0.3	log.pimpleFoam
Basic/pitzDaily/8/GT_Files	OK	131	0.3	log.pimpleFoam
Basic/pitzDaily/9/GT_Files	OK	129	0.3	log.pimpleFoam
Basic/wedge/2/GT_Files	OK	15	0.2	log.rhoCentralFoam
Basic/wedge/3/GT_Files	OK	14	0.2	log.rhoCentralFoam
Basic/squareBend/5/GT_Files	OK	75	151	log.rhoSimpleFoam
Basic/wedge/10/GT_Files	OK	29	0.2	log.rhoCentralFoam
Basic/wedge/4/GT_Files	OK	14	0.2	log.rhoCentralFoam
Basic/squareBend/7/GT_Files	OK	73	74	log.rhoSimpleFoam
Basic/squareBend/8/GT_Files	OK	72	75	log.rhoSimpleFoam
Basic/wedge/5/GT_Files	OK	25	0.2	log.rhoCentralFoam
Basic/squareBend/6/GT_Files	OK	77	154	log.rhoSimpleFoam
Basic/wedge/6/GT_Files	OK	23	0.2	log.rhoCentralFoam
Basic/wedge/7/GT_Files	OK	23	0.2	log.rhoCentralFoam
Basic/wedge/8/GT_Files	OK	20	0.2	log.rhoCentralFoam
Basic/squareBend/9/GT_Files	OK	65	74.5	log.rhoSimpleFoam
Basic/wedge/9/GT_Files	OK	19	0.2	log.rhoCentralFoam
Basic/squareBend/2/GT_Files	OK	160	500	log.rhoSimpleFoam
