case	status	seconds	finished_at
Basic/obliqueShock/5	ok	563	2026-08-31T02:32:09
Basic/obliqueShock/6	ok	502	2026-08-31T02:40:32
Basic/obliqueShock/7	ok	213	2026-08-31T02:44:05
Basic/obliqueShock/8	ok	472	2026-08-31T02:51:57
Basic/obliqueShock/9	ok	273	2026-08-31T02:56:30
Basic/obliqueShock/10	ok	266	2026-08-31T03:00:57
Basic/pitzDaily/1	ok	289	2026-08-31T03:05:47
Basic/pitzDaily/2	ok	185	2026-08-31T03:08:52
Basic/pitzDaily/3	ok	231	2026-08-31T03:12:43
Basic/pitzDaily/4	timeout	900	2026-08-31T03:27:43
Basic/pitzDaily/5	timeout	900	2026-08-31T03:42:43
Basic/pitzDaily/6	timeout	900	2026-08-31T03:57:43
Basic/pitzDaily/7	timeout	900	2026-08-31T04:12:43
Basic/pitzDaily/8	ok	287	2026-08-31T04:17:31
Basic/pitzDaily/9	ok	192	2026-08-31T04:20:44
Basic/pitzDaily/10	ok	192	2026-08-31T04:23:56
Basic/shallowWaterWithSquareBump/1	ok	108	2026-08-31T04:25:45
Basic/shallowWaterWithSquareBump/2	ok	179	2026-08-31T04:28:45
Basic/shallowWaterWithSquareBump/3	ok	106	2026-08-31T04:30:32
Basic/shallowWaterWithSquareBump/4	ok	100	2026-08-31T04:32:12
Basic/shallowWaterWithSquareBump/5	ok	99	2026-08-31T04:33:51
Basic/shallowWaterWithSquareBump/6	ok	162	2026-08-31T04:36:34
Basic/shallowWaterWithSquareBump/7	ok	105	2026-08-31T04:38:19
Basic/shallowWaterWithSquareBump/8	ok	107	2026-08-31T04:40:07
Basic/shallowWaterWithSquareBump/9	ok	154	2026-08-31T04:42:41
Basic/shallowWaterWithSquareBump/10	ok	147	2026-08-31T04:45:09
Basic/squareBend/4	timeout	900	2026-08-31T05:19:46
Basic/squareBend/9	timeout	900	2026-08-31T06:06:50
Basic/wedge/1	ok	132	2026-08-31T06:15:48
Basic/wedge/2	ok	247	2026-08-31T06:19:55
Basic/wedge/3	ok	119	2026-08-31T06:21:55
Basic/wedge/4	ok	133	2026-08-31T06:24:09
Basic/wedge/5	ok	166	2026-08-31T06:26:55
Basic/wedge/6	ok	120	2026-08-31T06:28:56
Basic/wedge/7	ok	126	2026-08-31T06:31:03
Basic/wedge/8	ok	145	2026-08-31T06:33:29
Basic/wedge/9	ok	149	2026-08-31T06:35:59
Basic/wedge/10	ok	123	2026-08-31T06:38:02
Advanced/Cavity_LES	ok	110	2026-08-31T06:39:53
Advanced/Cavity_SA	ok	104	2026-08-31T06:41:37
Advanced/Cavity_geometry_1	ok	108	2026-08-31T06:43:25
Advanced/Cylinder_LES	ok	291	2026-08-31T06:48:16
Advanced/Cylinder_SA	ok	266	2026-08-31T06:52:43
Advanced/Diamond_Obstacle_KOMEGASST	ok	305	2026-08-31T06:57:48
Advanced/Diamond_Obstacle_SA	ok	345	2026-08-31T07:03:34
Advanced/Double_Square_SA	ok	159	2026-08-31T07:06:13
Advanced/Rectangular_Obstacle_KOMEGASST	ok	227	2026-08-31T07:10:01
Advanced/Rectangular_Obstacle_SA	ok	196	2026-08-31T07:13:18
Advanced/counterFlowFlame2D_KE	timeout	900	2026-08-31T07:28:18
Advanced/counterFlowFlame2D_SA	timeout	900	2026-08-31T07:43:18
Advanced/nozzleFlow2D_SA	ok	174	2026-08-31T07:46:12
Advanced/obliqueShock_KE	ok	186	2026-08-31T07:49:19
Advanced/obliqueShock_LES	ok	190	2026-08-31T07:52:29
Advanced/wedge_SA	ok	226	2026-08-31T07:56:15
Basic/Cylinder/4	ok	250	2026-08-31T08:01:46
Basic/damBreakWithObstacle/1	ok	223	2026-09-01T01:12:46
Basic/damBreakWithObstacle/5	ok	288	2026-09-01T01:17:34
Basic/damBreakWithObstacle/7	ok	270	2026-09-01T01:22:05
Basic/damBreakWithObstacle/8	ok	188	2026-09-01T01:25:14
Basic/damBreakWithObstacle/9	ok	244	2026-09-01T01:29:19
Basic/squareBend/1	timeout	900	2026-09-01T01:44:19
Basic/squareBend/2	ok	346	2026-09-01T01:50:05
Basic/squareBend/3	ok	251	2026-09-01T01:54:17
Basic/squareBend/5	timeout	900	2026-09-01T02:09:17
Basic/squareBend/6	timeout	900	2026-09-01T02:24:17
Basic/squareBend/7	timeout	900	2026-09-01T02:39:17
Basic/squareBend/8	timeout	900	2026-09-01T02:54:17
Basic/squareBend/10	timeout	900	2026-09-01T03:09:17
