Split	Dataset	Directory	status	seconds	Execution	CodeBLEU	TreeScore	NMSE	NMSE_Score	Success
Basic	wedge	5	ok	166	1	0.8709	1.0000	0.0228	1.0000	1
Basic	wedge	6	ok	120	1	0.8671	1.0000	0.0418	1.0000	1
Basic	wedge	7	ok	126	1	0.8649	1.0000	0.0352	1.0000	1
Basic	wedge	8	ok	145	1	0.8608	1.0000	0.0477	1.0000	1
Basic	wedge	9	ok	149	1	0.8592	1.0000	0.0341	1.0000	1
Basic	wedge	10	ok	123	1	0.8314	1.0000	0.0450	1.0000	1
Basic	Cavity	1	ok	113	1	0.8722	1.0000	0.0123	1.0000	1
Basic	Cavity	2	ok	107	1	0.8672	1.0000	0.0119	1.0000	1
Basic	Cavity	3	ok	107	1	0.8865	1.0000	0.0258	1.0000	1
Basic	Cavity	4	ok	107	1	0.8489	1.0000	0.0027	1.0000	1
Basic	Cavity	5	ok	111	1	0.8743	1.0000	0.0081	1.0000	1
Basic	Cavity	6	ok	113	1	0.8879	1.0000	0.0234	1.0000	1
Basic	Cavity	7	ok	106	1	0.8718	1.0000	0.0038	1.0000	1
Basic	Cavity	8	ok	106	1	0.8445	1.0000	0.0119	1.0000	1
Basic	Cavity	9	ok	110	1	0.8750	1.0000	0.0205	1.0000	1
Basic	Cavity	10	ok	105	1	0.8671	1.0000	0.0068	1.0000	1
Basic	counterFlowFlame2D	1	timeout	900	0	0.6456	0.8778	9999.0000	0.0000	0
Basic	counterFlowFlame2D	2	timeout	900	0	0.7002	0.8778	9999.0000	0.0000	0
Basic	counterFlowFlame2D	3	timeout	900	0	0.7034	0.8778	9999.0000	0.0000	0
Basic	counterFlowFlame2D	4	timeout	900	0	0.7130	0.8778	9999.0000	0.0000	0
Basic	counterFlowFlame2D	5	timeout	900	0	0.7297	0.8778	9999.0000	0.0000	0
Basic	counterFlowFlame2D	6	timeout	900	0	0.6912	0.8778	9999.0000	0.0000	0
Basic	counterFlowFlame2D	7	timeout	900	0	0.6635	0.8778	9999.0000	0.0000	0
Basic	counterFlowFlame2D	8	timeout	900	0	0.6496	0.8778	9999.0000	0.0000	0
Basic	counterFlowFlame2D	9	timeout	900	0	0.7083	0.8778	9999.0000	0.0000	0
Basic	counterFlowFlame2D	10	timeout	900	0	0.6762	0.8778	9999.0000	0.0000	0
Basic	forwardStep	1	ok	108	1	0.8489	1.0000	0.0174	1.0000	1
Basic	forwardStep	2	ok	177	1	0.8425	1.0000	0.2026	0.5000	0
Basic	forwardStep	3	ok	109	1	0.8448	1.0000	0.1438	0.5000	0
Basic	forwardStep	4	ok	106	1	0.8454	1.0000	0.0750	1.0000	1
Basic	forwardStep	5	ok	146	1	0.8611	1.0000	0.0102	1.0000	1
Basic	forwardStep	6	ok	173	1	0.8606	1.0000	0.0057	1.0000	1
Basic	forwardStep	7	ok	111	1	0.8366	1.0000	0.0062	1.0000	1
Basic	forwardStep	8	ok	106	1	0.8471	1.0000	0.0071	1.0000	1
Basic	forwardStep	9	ok	169	1	0.8225	1.0000	0.0083	1.0000	1
Basic	forwardStep	10	ok	110	1	0.8435	1.0000	0.0097	1.0000	1
Basic	Cylinder	1	ok	447	1	0.7391	1.0000	11731716.0000	0.0000	0
Basic	Cylinder	2	ok	455	1	0.7460	1.0000	371686272.0000	0.0000	0
Basic	Cylinder	3	ok	240	1	0.7110	1.0000		0.0000	0
Basic	Cylinder	4	ok	250	1	0.7134	1.0000	1335213.1250	0.0000	0
Basic	Cylinder	5	ok	245	1	0.7970	1.0000	46400332.0000	0.0000	0
Basic	Cylinder	6	ok	275	1	0.8137	1.0000		0.0000	0
Basic	Cylinder	7	ok	505	1	0.7436	1.0000	2868601600.0000	0.0000	0
Basic	Cylinder	8	ok	230	1	0.7638	1.0000		0.0000	0
Basic	Cylinder	9	ok	394	1	0.7540	1.0000	6525936.5000	0.0000	0
Basic	Cylinder	10	ok	242	1	0.7484	1.0000	250736.3125	0.0000	0
Basic	damBreakWithObstacle	1	ok	223	1	0.5628	0.7778	3.0781	0.0000	0
Basic	damBreakWithObstacle	2	ok	272	1	0.5260	0.7778	25.3568	0.0000	0
Basic	damBreakWithObstacle	3	ok	281	1	0.5366	0.7778	8.8964	0.0000	0
Basic	damBreakWithObstacle	4	ok	312	1	0.5102	0.7361	73.3435	0.0000	0
Basic	damBreakWithObstacle	5	ok	288	1	0.5522	0.7361	15.6965	0.0000	0
Basic	damBreakWithObstacle	6	ok	242	1	0.5407	0.7361	15.0930	0.0000	0
Basic	damBreakWithObstacle	7	ok	270	1	0.5004	0.7361	9.1946	0.0000	0
Basic	damBreakWithObstacle	8	ok	188	1	0.5346	0.7361	27.8584	0.0000	0
Basic	damBreakWithObstacle	9	ok	244	1	0.5048	0.7361	87.2347	0.0000	0
Basic	damBreakWithObstacle	10	ok	244	1	0.5337	0.7361	14.9508	0.0000	0
Basic	squareBend	1	timeout	900	0	0.7754	1.0000	9999.0000	0.0000	0
Basic	squareBend	2	ok	346	0	0.7328	1.0000	0.1170	0.5000	0
Basic	squareBend	3	ok	251	0	0.7802	1.0000	0.2066	0.5000	0
Basic	squareBend	4	timeout	900	0	0.7394	1.0000	9999.0000	0.0000	0
Basic	squareBend	5	timeout	900	0	0.7774	1.0000	9999.0000	0.0000	0
Basic	squareBend	6	timeout	900	0	0.7142	1.0000	9999.0000	0.0000	0
Basic	squareBend	7	timeout	900	0	0.7489	1.0000	9999.0000	0.0000	0
Basic	squareBend	8	timeout	900	0	0.7744	1.0000	9999.0000	0.0000	0
Basic	squareBend	9	timeout	900	0	0.7804	1.0000	9999.0000	0.0000	0
Basic	squareBend	10	timeout	900	0	0.7640	1.0000	9999.0000	0.0000	0
Advanced	Cylinder_LES	1	ok	291	1	0.6753	0.9333	0.6776	0.0000	0
Advanced	Cavity_geometry_1	1	ok	108	1	0.8586	1.0000	0.3216	0.0000	0
Advanced	obliqueShock_LES	1	ok	190	1	0.7137	0.9444	0.0357	1.0000	1
Advanced	Cylinder_SA	1	ok	266	1	0.7121	1.0000	0.6770	0.0000	0
Advanced	Diamond_Obstacle_SA	1	ok	345	1	0.3697	0.5556	0.5202	0.0000	0
Advanced	obliqueShock_KE	1	ok	186	1	0.7649	1.0000	0.0003	1.0000	1
Advanced	wedge_SA	1	ok	226	1	0.7764	1.0000	0.0019	1.0000	1
Advanced	Double_Square_SA	1	ok	159	1	0.3887	0.5556	0.5479	0.0000	0
Advanced	counterFlowFlame2D_KE	1	timeout	900	0	0.7148	0.9556	9999.0000	0.0000	0
Advanced	nozzleFlow2D_SA	1	ok	174	1	0.3783	0.6053	35.7925	0.0000	0
Advanced	Cavity_SA	1	ok	104	1	0.8644	1.0000	0.3971	0.0000	0
Advanced	counterFlowFlame2D_SA	1	timeout	900	0	0.6647	0.9333	9999.0000	0.0000	0
Advanced	Cavity_LES	1	ok	110	1	0.8238	0.9333	0.0119	1.0000	1
Advanced	Diamond_Obstacle_KOMEGASST	1	ok	305	1	0.3613	0.5556	0.5353	0.0000	0
Advanced	Rectangular_Obstacle_SA	1	ok	196	1	0.3678	0.5556	inf	0.0000	0
Advanced	Rectangular_Obstacle_KOMEGASST	1	ok	227	1	0.3614	0.5556	0.5061	0.0000	0
